                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  37748.0000  05/07/2003       30.9563       30.4022        0.0000        0.0000        0.0000        0.0000
  37749.0000  05/08/2003        0.4763        0.4725        0.0000        0.0000        0.0000        0.0000
  37750.0000  05/09/2003       95.4870       93.2387        0.0000        0.0000        0.0000        0.0000
  37751.0000  05/10/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37752.0000  05/11/2003       17.6213       15.6559        0.0000        0.0000        0.0000        0.0000
  37753.0000  05/12/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37754.0000  05/13/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37755.0000  05/14/2003        0.9525        0.6102        0.0000        0.0000        0.0000        0.0000
  37756.0000  05/15/2003        1.9050        0.0000        0.0000        0.0000        0.0000        0.0000
  37757.0000  05/16/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37758.0000  05/17/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37759.0000  05/18/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37760.0000  05/19/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37761.0000  05/20/2003       87.1205       85.9227        0.0000        0.0000        0.0000        0.0000
  37762.0000  05/21/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37763.0000  05/22/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37764.0000  05/23/2003        8.4228        8.2316        0.0000        0.0000        0.0000        0.0000
  37765.0000  05/24/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37766.0000  05/25/2003       14.7823       14.7485        0.0000        0.0000        0.0000        0.0000
  37767.0000  05/26/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37768.0000  05/27/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37769.0000  05/28/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37770.0000  05/29/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37771.0000  05/30/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37772.0000  05/31/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37773.0000  06/01/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37774.0000  06/02/2003       23.5892       23.3333        0.0000        0.0000        0.0000        0.0000
  37775.0000  06/03/2003       30.3530       28.7159        0.0000        0.0000        0.0000        0.0000
  37776.0000  06/04/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37777.0000  06/05/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37778.0000  06/06/2003       21.7235       20.5719        0.0000        0.0000        0.0000        0.0000
  37779.0000  06/07/2003        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  37780.0000  06/08/2003       44.3171       43.2575        0.0000        0.0000        0.0000        0.0000
  37781.0000  06/09/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37782.0000  06/10/2003       20.9070       20.6369        0.0000        0.0000        0.0000        0.0000
  37783.0000  06/11/2003        0.4763        0.0289        0.0000        0.0000        0.0000        0.0000
  37784.0000  06/12/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37785.0000  06/13/2003       32.6866       31.1159        0.0000        0.0000        0.0000        0.0000
  37786.0000  06/14/2003        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  37787.0000  06/15/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37788.0000  06/16/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37789.0000  06/17/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37790.0000  06/18/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37791.0000  06/19/2003      127.4434      126.2445        1.6471        0.0000        0.0000        1.6471
  37792.0000  06/20/2003       17.1450       14.3643        0.0000        0.0000        0.0000        0.0000
  37793.0000  06/21/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37794.0000  06/22/2003        0.9525        0.4586        0.0000        0.0000        0.0000        0.0000
  37795.0000  06/23/2003       17.5289       17.0019        0.0000        0.0000        0.0000        0.0000
  37796.0000  06/24/2003        0.9525        0.8416        0.0000        0.0000        0.0000        0.0000
  37797.0000  06/25/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37798.0000  06/26/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37799.0000  06/27/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37800.0000  06/28/2003       10.1041        9.9977        0.0000        0.0000        0.0000        0.0000
  37801.0000  06/29/2003        2.7337        2.7231        0.0000        0.0000        0.0000        0.0000
  37802.0000  06/30/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37803.0000  07/01/2003        0.0000        0.0021        0.0000        0.0000        0.0000        0.0000
  37804.0000  07/02/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37805.0000  07/03/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37806.0000  07/04/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37807.0000  07/05/2003      102.1955      101.7339        0.0000        0.0000        0.0000        0.0000
  37808.0000  07/06/2003       79.6490       79.9002        0.0000        0.0000        0.0000        0.0000
  37809.0000  07/07/2003        2.5220        2.5241        0.0000        0.0000        0.0000        0.0000
  37810.0000  07/08/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37811.0000  07/09/2003       16.6810       15.8165        0.0000        0.0000        0.0000        0.0000
  37812.0000  07/10/2003       25.7311       25.7234        0.0000        0.0000        0.0000        0.0000
  37813.0000  07/11/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37814.0000  07/12/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37815.0000  07/13/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37816.0000  07/14/2003      102.5841       98.3831        0.8115        3.4462        0.0000        0.8115
  37817.0000  07/15/2003        3.8669        7.8118        0.0000        0.0000        0.0000        0.0000
  37818.0000  07/16/2003        0.0000        0.0002        0.0000        0.0000        0.0000        0.0000
  37819.0000  07/17/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37820.0000  07/18/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37821.0000  07/19/2003      122.2675      111.9109       12.0402        0.0000        0.0000       12.0402
  37822.0000  07/20/2003        0.0000        0.0002        0.0000        0.0000        0.0000        0.0000
  37823.0000  07/21/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37824.0000  07/22/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37825.0000  07/23/2003      129.4622      122.5336        7.7065        0.0000        0.0000        7.7065
  37826.0000  07/24/2003        0.0000        0.0008        0.0000        0.0000        0.0000        0.0000
  37827.0000  07/25/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37828.0000  07/26/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37829.0000  07/27/2003      111.2127       98.2298        8.0197        3.7294        0.0000        8.0197
  37830.0000  07/28/2003       16.5021       21.4756        1.3278        0.0000        0.0000        1.3278
  37831.0000  07/29/2003        0.0000        0.0004        0.0000        0.0000        0.0000        0.0000
  37832.0000  07/30/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37833.0000  07/31/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37834.0000  08/01/2003      148.8652      142.5288        8.9141        0.0000        0.0000        8.9141
  37835.0000  08/02/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37836.0000  08/03/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37837.0000  08/04/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37838.0000  08/05/2003      128.6117      119.3674       12.3100        0.0000        0.0000       12.3100
  37839.0000  08/06/2003       12.8588       12.6611        0.0000        0.0000        0.0000        0.0000
  37840.0000  08/07/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37841.0000  08/08/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37842.0000  08/09/2003      121.1731      107.5511       14.0524        0.0000        0.0000       14.0524
  37843.0000  08/10/2003        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  37844.0000  08/11/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37845.0000  08/12/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37846.0000  08/13/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37847.0000  08/14/2003      133.2087      110.3640       27.2799        0.0000        0.0000       27.2799
  37848.0000  08/15/2003        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  37849.0000  08/16/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37850.0000  08/17/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37851.0000  08/18/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37852.0000  08/19/2003       56.9558       56.8689        0.0000        0.0000        0.0000        0.0000
  37853.0000  08/20/2003      105.4988      104.0028       17.4762        0.0000        0.0000       17.4762
  37854.0000  08/21/2003       30.3371       30.3230      174.4544        0.0000        0.0000      174.4544
  37855.0000  08/22/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37856.0000  08/23/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37857.0000  08/24/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37858.0000  08/25/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37859.0000  08/26/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37860.0000  08/27/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37861.0000  08/28/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37862.0000  08/29/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37863.0000  08/30/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37864.0000  08/31/2003        0.0000        0.0000      174.4544        0.0000        0.0000      174.4544
  37865.0000  09/01/2003      135.7649      135.6152       55.6491        0.0000        0.0000       55.6491
  37866.0000  09/02/2003        0.0000        0.0004        0.0000        0.0000        0.0000        0.0000
  37867.0000  09/03/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37868.0000  09/04/2003        0.0000        0.0002        0.0000        0.0000        0.0000        0.0000
